country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Serbia,,,,,,,,,,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.7,,,,,,41.2,,,,60.8,,,,58.4,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,4.3,,,,,5.3,,,8.2,,11,,,16.6,,,,
Singapore,,,,,,,,,,,,,60.1,,,,71.3,,,,,74.2,,,,,67,,,,,65,,,,,62,,,,,,,,,,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,79.8,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,70.6,,,,,,,,,,,,,,,,,,,,,,,,,78.9,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,6.8,,,,,,34.6,,,,,,,,29.3,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,,14.6,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,48,,,,,,,,49.7,,57,,,,,,,,56.3,,,,,59.9,,,,,,,,,,,,,54.6,
South Korea,,,,,16,20,,,,,24.5,,,34.9,,44.2,,,54.5,,,57.7,,,70.4,,,77.1,,,79.4,,,77.4,,,80.5,,,79.3,,,84.5,,80.2,79.6,,,80,,,77.1,,,79.6,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,4,,,,,,,
Spain,,,,,,,,,,,,,,,,,47.1,,,,,,,,59.4,,,,,,,,,,81.1,,,,71.7,,,,,,,65.7,,,,,,,,72.7,,70.9,
Sri Lanka,,,,,,,,,,,,,,43.2,34.4,,48.6,,,,,57.8,,,,,61.7,,,,,,66.1,,,,,,,70,,,,,,,68.4,,,,,,,,,61.7,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,40.6,,,,,,,,,,,,,,,,,,,,,,54,,54,,,,,,,,,
